dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,"(0.0, 0.0)",1.0,1.0,0.0,0.0,20.783008887054834,10.987714940366736,0.11541577102058569,0.14604896624470415,2.3986869948271177,1.6047444084320526
Boston,"(0.0, 0.2)",1.0143992290557613,0.9106314781904657,0.0,0.2,21.082268192487458,10.005759098081626,0.11592169871660424,0.12560958689343962,2.409201694629679,1.3801623345623402
Boston,"(0.0, 0.4)",0.9860668401192287,0.83015727723149,0.0,0.4,20.493435901428008,9.121531517890613,0.10677611416040197,0.13113648343101353,2.2191289295208154,1.440890298222102
Boston,"(0.0, 0.6)",0.9830079576129043,0.7160252737062831,0.0,0.6,20.42986311911461,7.867481597582708,0.1000257233781886,0.10235799105220382,2.078835497902982,1.1246804275502245
Boston,"(0.0, 0.8)",0.9714578765049675,0.6947938334035185,0.0,0.8,20.189817680802157,7.634196583762518,0.09902126858290099,0.10066780609461541,2.057959904965875,1.106109157039747
Boston,"(0.0, 1.0)",0.9831230103022309,0.6439670797284112,0.0,1.0,20.432254260179366,7.0757267030362,0.10040526384185998,0.0925038824834688,2.0867234907324614,1.016406291605539
Boston,"(0.2, 0.0)",0.9894055112760397,0.7198693174016072,0.2,0.0,20.562823533750965,7.909718853925243,0.10780622743711028,0.11449900180508803,2.240537782905318,1.2580823927908436
Boston,"(0.2, 0.2)",0.9978669532337343,0.6235758668385963,0.2,0.2,20.73867775715503,6.851673868514584,0.10604476485279479,0.11004462451588423,2.203929290361274,1.2091389649002287
Boston,"(0.2, 0.4)",0.9671196167383647,0.5493951076762754,0.2,0.4,20.0996555895185,6.0365968327790025,0.09839040495709121,0.08952206465122285,2.044848660624151,0.9836429272607181
Boston,"(0.2, 0.6)",0.9698682344789957,0.5278955687188519,0.2,0.6,20.15678013644915,5.800366027365524,0.09739368552550703,0.08859523145304427,2.0241338318196367,0.9734591482818636
Boston,"(0.2, 0.8)",0.9720780144697533,0.5032987803677245,0.2,0.8,20.2027060136355,5.530103528514802,0.09276562245431569,0.08546165234167814,1.9279487558812165,0.9390282742630847
