dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
California,"(0.0, 0.0)",1.0,1.0,0.0,0.0,0.3642505581258102,0.18960033560296766,0.015451782514953835,0.020733397858932124,0.005628320405110568,0.0039310591922433824
California,"(0.0, 0.2)",0.9682346281541766,0.957203743324311,0.0,0.2,0.3526800037018951,0.18148615097470627,0.017702275577072032,0.03449282613761704,0.006448063759045386,0.006539851411587006
California,"(0.0, 0.4)",0.9588634470176545,0.918302635063279,0.0,0.4,0.3492665457426189,0.17411048779308724,0.016644270008361644,0.03521021704135,0.006062684640142411,0.006675868967693291
California,"(0.0, 0.6)",0.9570031075601277,0.8904646642196419,0.0,0.6,0.3485889160569113,0.168832399178628,0.016424494797969095,0.03386463253755312,0.005982631397094708,0.00642074569419125
California,"(0.0, 0.8)",0.958919641391454,0.8553994674344229,0.0,0.8,0.3492870145746389,0.16218402610016638,0.01420923522022074,0.034695610275358016,0.005175721859506323,0.006578299352157653
California,"(0.0, 1.0)",0.9560713638871009,0.8178911935896284,0.0,1.0,0.34824952790398106,0.15507244479130533,0.01607987653500741,0.031305898447500556,0.0058571040024705655,0.005935608851998528
California,"(0.0, 1.2)",0.956163731555661,0.7938736376618254,0.0,1.2,0.3482831728788069,0.15051870812703083,0.015592657189310999,0.029302410150922498,0.005679634083870959,0.005555746798590713
California,"(0.0, 1.4)",0.9519582084186377,0.771886473152958,0.0,1.4,0.3467513087289351,0.14634993435719193,0.015028248263759893,0.027956017796554367,0.00547404781772778,0.005300470356349244
California,"(0.0, 1.6)",0.9521786904870234,0.7573029132853762,0.0,1.6,0.34683161944540136,0.14358488651201246,0.015430804066803264,0.027192434556635395,0.0056206789936631115,0.005155694717799807
California,"(0.0, 1.8)",0.955125914515654,0.7404728251881728,0.0,1.8,0.34790514744275186,0.14039389616055517,0.015352186293198946,0.0269989533502536,0.005592042425749129,0.005119010616136952
