dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,"(0, 0.0)",1.0,1.0,0,0.0,20.783008887054834,10.987714940366736,0.11541577102058569,0.14604896624470415,2.3986869948271177,1.6047444084320526
Boston,"(0, 0.2)",1.0175914541482005,0.9215711555210265,0,0.2,21.148612234953102,10.12596115412942,0.11546705076338301,0.13583890101016605,2.3997527421774008,1.4925591221123995
Boston,"(0, 0.4)",1.0003301145005437,0.8640259963158597,0,0.4,20.78986965965338,9.493671348585027,0.1151437163237017,0.12851023462017083,2.393032879644013,1.4120338249260855
Boston,"(0, 0.6)",1.0067994868167232,0.8180334941039971,0,0.6,20.924322681994205,8.988318844886892,0.11637264339563037,0.11514151948227246,2.4185736819014494,1.2651421938718928
Boston,"(0, 0.8)",1.0033288865881609,0.7823931185809421,0,0.8,20.85219316660058,8.59671255827194,0.10721078089518378,0.11664875986449985,2.228162612132693,1.2817033215384166
Boston,"(0, 1.0)",0.9894072659036715,0.7622810438864925,0,1.0,20.56286000019263,8.375726814669965,0.11129258390370562,0.12021594615230784,2.3129947603340097,1.3208985476080355
Boston,"(0, 1.2)",1.00402264920266,0.6967694926055187,0,1.2,20.866611641183223,7.655904563893408,0.10886533214801102,0.11964719247929191,2.2625491655242893,1.3146492443776503
Boston,"(0, 1.4)",1.0030477996821396,0.6510974496784567,0,1.4,20.846351334934702,7.154073175466658,0.10796315050465725,0.11876407788268839,2.2437991164127307,1.3049458329304937
Boston,"(0, 1.6)",1.003360304725337,0.6045286244517829,0,1.6,20.852846130024727,6.642388198768207,0.10558352802788443,0.11443495263459669,2.194343401330125,1.257378638763318
Boston,"(0, 1.8)",0.9983303370197165,0.565398498530438,0,1.8,20.748308266497215,6.212437529563814,0.10253947138017085,0.10649825589992704,2.1310787449679958,1.1701724774746283
Boston,"(0, 2.0)",0.9938315181390202,0.5169031463203725,0,2.0,20.654809273718453,5.679584423546929,0.10339500495882874,0.09611825731121897,2.148859306936416,1.056120011900495
