dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
California,"(0.0, 0.0)",1.0,1.0,0.0,0.0,0.3642505581258102,0.18960033560296766,0.015451782514953835,0.020733397858932124,0.005628320405110568,0.0039310591922433824
California,"(0.0, 0.2)",0.9605619058383932,0.8800434403942066,0.0,0.2,0.34988521031602665,0.16685653164393183,0.014911516510203249,0.028559658115838552,0.005431528211343767,0.005414920763469009
California,"(0.0, 0.4)",0.9599667393003288,0.8152192447120006,0.0,0.4,0.3496684205723589,0.15456584238739313,0.012780103432046152,0.028951814915334988,0.004655159808028392,0.005489273824262519
California,"(0.0, 0.6)",0.9545119420475747,0.7726814250230203,0.0,0.6,0.3476815076285801,0.14650065749854393,0.013418935642327724,0.03069110384072054,0.004887854797172201,0.0058190435882261434
California,"(0.0, 0.8)",0.9587364123492234,0.740049306648508,0.0,0.8,0.3492202732937415,0.14031359690330064,0.01490479012242529,0.027291408310262402,0.005429078120841475,0.005174460174703372
California,"(0.0, 1.0)",0.9562430419758415,0.7130823419271379,0.0,1.0,0.34831206174362284,0.13520065134193548,0.013905870629312507,0.025154805657558413,0.0050652211379523925,0.004769359594700505
California,"(0.0, 1.2)",0.9554953550012152,0.6721613219192555,0.0,1.2,0.34803971634581177,0.12744201221522522,0.0144988116659121,0.02566607360232859,0.00528120024146949,0.00486629616861197
California,"(0.0, 1.4)",0.9532832841280633,0.6400347369539793,0.0,1.4,0.34723396829565234,0.1213508009240316,0.016059230433411863,0.025289695559035347,0.005849583648441268,0.004794934765289983
California,"(0.0, 1.6)",0.9569291138734874,0.6101952128688862,0.0,1.6,0.3485619638152548,0.11569321714326511,0.015108374764005348,0.023406894324793242,0.005503233940162853,0.004437955019403998
California,"(0.0, 1.8)",0.9591812860315785,0.5900501015582714,0.0,1.8,0.34938231878083487,0.11187369727801341,0.014479083770390694,0.024508898029831513,0.00527401434451517,0.004646895291714967
California,"(0.0, 2.0)",0.9606346538031364,0.572786428505309,0.0,2.0,0.3499117088027869,0.10860049907343183,0.014768637376178666,0.024084051592375425,0.005379484407030782,0.0045663442645935675
